run_id,num_classes,train_dataset_dir,test_dataset_dir,auto_split,source_dir,split_ratio,epochs,batch_size,learning_rate,img_size,train_subset,val_subset,test_subset,freeze_backbone,output_dir,resume_checkpoint,test_checkpoint,test_only,use_tensorboard,accuracy,precision,recall,f1_score
20260425_202241,3,data/processed/structural_defects_50_20_30/,,True,data/raw/structural_defects,"(0.5, 0.2, 0.3)",3,16,0.001,224,0.5,0.2,0.3,False,experiments,,,False,True,0.9677163794810854,0.96905653707231,0.9677163794810854,0.9679091080032088
20260426_012330,2,data/processed/structural_defects_25_25_50/,,True,data/raw/structural_defects/,"(0.25, 0.25, 0.5)",5,16,0.0001,224,1.0,1.0,1.0,False,experiments,,,False,True,0.934719053051911,0.9322542554258219,0.934719053051911,0.9309054939763203
