,precision,recall,f1-score,support
crack,0.44021739130434784,0.19285714285714287,0.2682119205298013,420.0
no_crack,0.8692129629629629,0.9562818336162988,0.9106709781729992,2356.0
accuracy,0.840778097982709,0.840778097982709,0.840778097982709,0.840778097982709
macro avg,0.6547151771336553,0.5745694882367208,0.5894414493514003,2776.0
weighted avg,0.8043072928993397,0.840778097982709,0.8134689593653107,2776.0
